"question";"answer"
"Apa kepanjangan dari HTTP...";"Hypertext transfer protocol"
"Jenis koneksi pada ponsel yang menggunakan gelombang elektromagnetik pada frekuensi 2.45 GHz adalah";"Bluetooth"
"Sebuah tim sepak bola beranggota 50 orang. Terdapat 30 orang yang bisa bermain sebagai forward (penyerang), ada 15 orang yang bisa bermain sebagai forward dan defender (pemain bertahan). Jika ada 10 orang yang tidak bisa bermain sebagai forward maupun defender, hitunglah berapa banyak orang hanya bisa bermain sebagai defender ?";"10 orang"
"<img src=""static/soalGambar/soal1penyisihan2.png"" />";"289"
"Jika sebuah program telah selesai dieksekusi dan semua sumber daya yang dialokasikan
telah dilepaskan oleh sistem operasi, maka status dari proses tersebut akan berubah
menjadi?";"terhenti/dihentikan/terminated"
"Simbol E dalam heksadesimal mewakili angka ?";"14"
"Apa yang harus dilakukan jika komputer anda benar-benar tidak merespons dan
tidak ada cara lain untuk mematikannya, tindakan yang paling tepat adalah…";"Hard restart/ Restart paksa"
"fitur apa yang memungkinkan Anda untuk mengatur urutan data secara otomatis
berdasarkan waktu atau tanggal";"Sort by Date"
"Algoritma sorting yang paling efisien untuk mengurutkan data yang sudah hampir
terurut?";"Insertion Sort"
"Perangkat keras yang menghubungkan beberapa perangkat dalam satu jaringan disebut";"Switch"
"Dari 12 orang, dipilih 5 orang untuk membentuk sebuah tim. Berapa banyak cara untuk
memilih 5 orang tersebut jika dalam tim harus ada minimal 2 orang wanita dan dalam kelompok
tersebut ada 4 orang wanita?";"336 cara"
"Berikut ini yang merupakan Cipherteks dari kalimat “AKU CINTA ILMU KOMPUTER” adalah";"CMW EKPVC KNOW MQORWVGT"
"Perangkat lunak bagian dari sistem operasi yang berfungsi sebagai komponen dasar
sistem operasi yang mengelola sumber daya sistem secara umum adalah?";"kernel"
"Berapa jumlah bit yang dibutuhkan setiap digit biner ?";"satu bit"
"Fitur yang memungkinkan perangkat keras baru dikenali dan diatur secara
otomatis oleh sistem operasi tanpa perlu konfigurasi manual adalah….";"plug and play"
"Apa nama fitur di Microsoft Excel yang digunakan untuk menyaring data?";"Filter"
"Apa istilah yang digunakan untuk menggambarkan proses mengubah informasi menjadi
format yang tidak dapat dibaca tanpa kunci atau metode tertentu untuk
mengembalikannya ke bentuk aslinya?";"Enkripsi"
"Pembagian ruang dalam sebuah hardisk diistilahkan dengan";"Partisi"
"Perangkat lunak sistem yang mengelola perangkat keras dan perangkat lunak lain serta menyediakan layanan untuk program computer adalah";"Sistem Operasi"
"Mengapa identifikasi penting dalam penulisan pseudocode?";"Agar pseudocode dapat dibaca dan dipahami hierarkinya"
"Apa sifat utama dari Ubuntu yang membuatnya populer di kalangan pengguna dan
pengembang yang terkait dengan lisensi?";"open source"
"Diketahui bilangan desimal 398(10). Jika di konversi ke oktal, nilainya adalah?";"616(8)"
"Perangkat lunak khusus yang tertanam dalam perangkat keras untuk mengontrol
fungsi dasar perangkat tersebut adalah….";"Firmware"
"Fungsi tampilan Slide Sorter View dalam PowerPoint adalah untuk…";"Menampilkan semua slide dalam ukuran kecil"
"Variasi dari sistem operasi linux biasa disebut dengan ….";"Distro"
"Teknik yang digunakan untuk membagi jaringan besar menjadi beberapa jaringan kecil";"Subnetting"
"<img src=""static/soalGambar/soal2penyisihan2.png"" />";"a + b + x + y = 3 + 5 + 6 + 2 = 16"
"Apa yang harus dilakukan ketika menemui simbol masukan (READ) dalam diagram penelusuran alir?";"Menunggu dan Menjalankan instruksi masukan"
"Pemindahan proses dari memori utama ke disk dan sebaliknya disebut?";"pagging atau swapping"
"Apa hasil dari operasi NOT pada bilangan biner 10101010?";"1010101"
"Perangkat lunak yang kode sumbernya tersedia untuk umum dan dapat dimodifikasi serta didistribusikan oleh siapa saja adalah….";"Open source software"
"Format file .XLSX untuk Excel pertama kali diperkenalkan pada tahun…";"2007"
"Saat menulis pseudocode, sebaiknya tambahkan komentar untuk menjelaskan kepada orang lain, dan sering kali untuk mengingatkan diri sendiri, apa yang dimaksudkan oleh kode tersebut. 
Untuk memisahkan komentar ini dari kode sebenarnya, karakter apa yang digunakan
";"//"
"<img src=""static/soalGambar/soal3penyisihan2.png"" />";"<img src=""static/soalGambar/jawaban3penyisihan2.png"" />"
"Diketahui bilangan biner 1011(2). Jika di konversi ke desimal, nilainya adalah?";"11"
"Apa kepanjangan dari USB?";"Universal Serial Bus"
