"question_id";"question";"answer"
"a1";"Berapa jumlah bit yang digunakan dalam alamat IPv6?";"128"
"a2";"Alamat IP 127.0.0.1 umumnya disebut dengan istilah?";"Localhost"
"a3";"Kemampuan sistem untuk menangani beberapa tugas atau proses secara bersamaan, yang bisa terjadi dalam satu atau lebih CPU dinamakan?";"Concurrency"
"a4";"Di Microsoft Word, fitur manakah yang memungkinkan pengguna untuk melacak setiap perubahan yang dilakukan pada dokumen, sehingga pengguna dapat melihat dan meninjau setiap modifikasi, penambahan, atau penghapusan yang dilakukan oleh penulis atau editor?";"Track Changes"
"a5";"perintah yang digunakan untuk menampilkan daftar file dan direktori di direktori saat ini adalah?";"ls"
"a6";"Berapa banyak cara yang dapat dilakukan untuk menyusun kata dari huruf-huruf pada kata ""SCIENCE”? ";"<img src=""static/soalgambar/jawaban1penyisihan5.png"" />"
"b1";"Jenis memori yang bersifat volatil di komputer adalah";"Random Access"
"b2";"proses memulai komputer dari kondisi mati hingga siap digunakan dengan memuat sistem operasi disebut dengan?";"booting"
"b3";"Diberikan himpunan A={1,2,3,4} dan B={3,4,5,6}. Berapa kardinalitas dari A∪B?";"A∪B={1,2,3,4,5,6}, sehingga kardinalitasnya adalah 6."
"b4";"Jenis perangkat lunak yang digunakan untuk melindungi komputer dari virus dan malware adalah...";"Antivirus"
"b5";"Fitur apa di Microsoft PowerPoint yang digunakan untuk mengatur urutan animasi?";"Animation Pane"
"b6";"Nama protokol yang bertugas mengubah domain menjadi alamat IP adalah?";"DNS"
"c1";"Bagian dari CPU yang bertugas untuk melakukan operasi matematika dan logika adalah";"ALU (Arithmetic Logic Unit)"
"c2";"Diketahui fungsi f(x)=4x+7, g(x)=3x-5, dan (f o g)(b)=31. Nilai b adalah";"<img src=""static/soalgambar/jawaban3penyisihan5.png"" />"
"c3";"<img src=""static/soalgambar/soal4penyisihan5.png"" />";"Hasil dari pseudocode adalah 120."
"c4";"Protokol yang digunakan untuk mentransfer file antar komputer melalui jaringan internet adalah";"FTP (File Transfer Protocol)"
"c5";"Perangkat keras untuk mengolah data di komputer adalah";"Central Processing"
"c6";"Fitur apa di Microsoft Word yang memungkinkan pengguna untuk meninjau dan membandingkan dua dokumen?";"Compare"
"d1";"Apa istilah yang digunakan untuk menggambarkan proses mengirim dan menerima data antara dua perangkat?";"Komunikasi Data"
"d2";"Jenis kabel untuk menghubungkan komputer dengan jaringan adalah";"Ethernet Cable"
"d3";"<img src=""static/soalgambar/soal7penyisihan5.png"" />";"Hasil akhir dari variabel product adalah 48."
"d4";"<img src=""static/soalgambar/soal6penyisihan5.png"" />";"<img src=""static/soalgambar/jawaban6penyisihan5.png"" />"
"d5";"Apa nama fitur di Microsoft Excel yang memungkinkan pengguna untuk memproyeksikan data ke dalam diagram lingkaran?";"Pie Chart"
"d6";"sistem yang hanya memungkinkan satu pengguna untuk menggunakan komputer pada satu waktu adalah?";"sistem operasi single user"
"e1";"Perangkat yang digunakan untuk mencetak dokumen adalah";"Printer Laser"
"e2";"Sebuah sensor kecepatan di jalan raya mencatat kecepatan kendaraan dalam format biner 110101. Untuk mengetahui kecepatan dalam kilometer per jam (km/h), ubah kecepatan ini ke format desimal.";"53"
"e3";"antarmuka berbasis teks yang digunakan untuk berinteraksi dengan sistem operasi atau perangkat lunak dengan cara memasukkan perintah melalui keyboard disebut dengan?";"command-line interface (CLI)"
"e4";"<img src=""static/soalgambar/soal2penyisihan5.png"" />";"Hasil dari pseudocode adalah 35."
"e5";"Apa nama sistem operasi yang dikembangkan oleh Microsoft dan merupakan edisi Sistem operasinya yang terbaru dan dirilis pada tahun 2021";"Windows 11"
"e6";"Protokol internet yang digunakan untuk mengirim email adalah";"Simple Mail"
"f1";"Perangkat input yang digunakan untuk memasukkan teks ke dalam komputer adalah";"Keyboard"
"f2";"Kode yang terdapat pada ASCII ini dibagi menjadi 2 (dua) bagian, sebutkan 2 bagian tersebut!";"kode standar ASCII dan kode extended ASCII"
"f3";"Diberikan dua himpunan A dan B, dengan ∣A∣=15, ∣B∣=10, dan ∣A∩B∣=5. Berapakah jumlah elemen di A∪B?";"<img src=""static/soalgambar/jawaban5penyisihan5.png"" />"
"f4";"Buku kode Anda mencatat halaman terakhir dengan nomor 456 dalam sistem oktal. Ubah nomor halaman ini ke format desimal untuk mengetahui halaman terakhir.";"302"
"f5";"Bilangan oktal 57 terbalik urutannya menjadi 75. Konversikan kedua bilangan tersebut ke sistem desimal, lalu hitung selisihnya.";"57 oktal = 47 desimal , 75 oktal = 61 desimal , selisih = 61 - 47 = 14"
"f6";"Layer mana dalam model OSI yang menangani enkripsi data?";"Presentation"
