question_id;question;answer
a1;Hasil konversi bilangan biner 10100101(2)  ke dalam bentuk heksadesimal yaitu?;A5(16)
a2;Formula pada Microsoft Excel yang digunakan untuk mencari angka tertinggi di dalam suatu deretan data adalah?;MAX
a3;Hasil konversi bilangan biner 00111001(2)  ke dalam bentuk oktal yaitu?;71(8)
a4;Hasil konversi bilangan heksadesimal AA(16) ke dalam bentuk biner yaitu?;10101010(2)
a5;Jenis jaringan yang memiliki jangkauan sangat dekat yang digunakan untuk berkomunikasi jarak dekat antar perangkat pribadi, seperti speaker bluetooth disebut?;Personal Area Network (PAN)
a6;Shortcut pada Microsoft Word yang digunakan untuk meratakan teks ke kanan adalah? ;CTRL + R
b1;START pseudocode<br><br>SET panjang = 5<br>SET lebar = panjang - 6 + 2<br>SET luas = panjang*lebar<br>DISPLAY luas<br><br>END pseudocode<br>Apakah output dari pseudocode diatas?;5
b2;Cabang Ilmu Komputer yang mempelajari cara membuat aplikasi untuk platform android atau iOS adalah?;Pemrograman Mobile / Mobile Programming / Mobile Development / Mobile App Development
b3;Komponen utama pada komputer yang berfungsi sebagai otak atau pusat, dan dapat melakukan operasi aritmatika, logika, pengendalian, dan input/output (I/O), adalah?;CPU
b4;Formula pada Microsoft Excel untuk mengkonversi teks menjadi huruf besar adalah?;UPPER
b5;START PSEUDOCODE<br><br>SET a = 10<br>SET b = 7<br>SET max =  a<br>IF b > max THEN<br>SET max = b<br>ENDIF<br><br>DISPLAY max<br>Apakah output dari pseudocode diatas?;10
b6;Apa kepanjangan dari SSD dalam konteks penyimpanan data?;Solid State Drive
c1;<img class='d-flex' src='static/soalgambar/soal8.png'>;4
c2;Tentukan hasil perhitungan dari 55 mod 6!;1
c3;START PSEUDOCODE<br><br>SET bil = 693 <br>IF bil mod 3 = 0 THEN <br>DISPLAY “PRJ X HT”<br>ELSE <br>DISPLAY “ILMU KOMPUTER”<br>ENDIF<br><br>END PSEUDOCODE <br>Apakah output dari pseudocode di atas?;PRJ X HT
c4;Kabel yang mengandung serat optik dilapisi kaca atau plastik, digunakan untuk mengirim data melalui sinyal cahaya, dan umumnya digunakan dalam jaringan perusahaan atau jaringan global adalah…;Fiber Optic
c5;Dengan berapa cara 4 orang duduk pada 4 kursi di sebuah meja melingkar!;6
c6;Tag HTML yang digunakan untuk membuat daftar tidak berurutan dimana setiap item ditandai dengan simbol adalah?;<ul>
d1;<img class='d-flex' src='static/soalgambar/soal7.png'>;8
d2;Jenis sistem bilangan yang menggunakan 2 digit atau hanya dapat menggunakan 0 atau 1 yaitu 0 dan 1 untuk pembuatan angka adalah?;Biner
d3;Tentukan FPB dari 12, 16 dan 24!;4
d4;Komponen utama yang digunakan pada komputer generasi keempat menggantikan IC adalah? ;Mikroprosesor
d5;Shortcut pada Microsoft Word untuk menerapkan spasi ganda pada paragraf adalah?;CTRL + 2
d6;Tag HTML yang digunakan untuk membuat baris baru dalam teks adalah?;<br>
e1;Berapa banyak subhimpunan yang dapat dibentuk dari himpunan {M, N, O, P, Q, R}?;2^6 = 64
e2;DEKLARASI<br><br>a 	: integer<br>b	: integer<br>c 	: real<br><br>DESKRIPSI<br>read (a, b)<br>c ← sqrt(a*a + b*b)<br>write(c)<br>Jika input yang diberikan pada program tersebut adalah 3 dan 4, maka output yang akan dihasilkan adalah?;5
e3;Sebuah browser web yang dikembangkan oleh Microsoft sebagai pengganti Internet Explorer adalah…;Microsoft Edge
e4;Lapisan pada OSI Layer yang berfungsi untuk menentukan bagaimana bit-bit data dikelompokkan menjadi format yang disebut sebagai frame adalah?;Data-Link Layer
e5;Pada Microsoft Word menu yang digunakan untuk menangani daftar isi, catatan kaki, bibliografi dan perintah sejenisnya adalah…;References
e6;Tools pada After Effect yang berfungsi untuk menyalin sebuah gambar dari layer satu ke layer yang lain adalah…;Clone Stamp
f1;Perintah yang digunakan di linux untuk menghapus sebuah file adalah…;rm
f2;Sistem operasi yang dirancang khusus untuk perangkat keras Apple dan dikembangkan oleh Apple Inc adalah?;macOs
f3;Perintah yang digunakan di linux untuk berpindah dari satu direktori ke direktori lain di dalam sistem file adalah…;cd
f4;Jenis topologi yang merupakan gabungan topologi ring dan star dan memiliki bentuk seperti jala dimana setiap perangkat terhubung satu sama lain disebut dengan?;Topologi Mesh
f5;Dalam ekstensi video dikenal dengan istilah MKV. Apa kepanjangan dari MKV itu?;Matroska Video
f6;Bahasa pemrograman yang dibuat pada akhir 1980-an dan dikenal sebagai bahasa pemrograman tingkat tinggi multi-platform ialah?;Python
