question_id;question;answer
a1;Pada Microsoft Word menu yang digunakan untuk menyisipkan berbagai elemen seperti gambar, tabel, grafik, tautan dan objek ke dalam dokumen disebut dengan…;Insert
a2;Jenis jaringan yang digunakan untuk menghubungkan perangkat dalam area jangkauan geografis yang sangat terbatas, seperti ruang kelas atau laboratorium komputer adalah?;Local Area Network (LAN)
a3;Lapisan pada OSI Layer yang berfungsi untuk mendefinisikan media transmisi jaringan, sinkronisasi bit, arsitektur jaringan (seperti Ethernet), topologi jaringan dan pengkabelan adalah?;Physical Layer
a4;START pseudocode<br><br>SET d1 = 8<br>SET d2 = 4<br>SET luas = ½ * d1 * d2<br>DISPLAY luas<br><br>END pseudocode<br>Apakah output dari pseudocode diatas?;16
a5;Jenis sistem bilangan yang menggunakan 10 digit atau menggunakan basis 10 untuk pembuatan angka adalah…;Desimal
a6;START pseudocode<br><br>SET a = 5<br>SET b = 2<br>SET c = a + b<br>SET d = a - b<br>DISPLAY c, d<br><br>END pseudocode<br>Apakah output dari pseudocode diatas?;7, 3
b1;Hasil konversi bilangan biner 01100011  ke dalam bentuk desimal yaitu?;99
b2;Hasil konversi bilangan biner 10110100  ke dalam bentuk heksadesimal yaitu?;B4
b3;Komponen yang berfungsi sebagai tempat penyimpanan sementara untuk data dan program yang sedang digunakan oleh komputer adalah?;RAM
b4;Shortcut pada Microsoft Word yang digunakan untuk meratakan teks dari kiri ke kanan atau justify adalah?;CTRL + J
b5;Tag HTML yang digunakan untuk membuat hyperlink ke halaman web lain adalah?;<a>
b6;START PSEUDOCODE<br><br>SET bil = 928<br><br>IF bil mod 2 = 0 THEN<br>DISPLAY “Genap”<br>ELSE<br>DISPLAY “Ganjil”<br>ENDIF<br><br>END PSEUDOCODE<br>Apakah output dari pseudocode diatas?;Genap
c1;Bahasa pemrograman yang dibuat oleh JetBrains pada tahun 2011 dan dijalankan pada Java Virtual Machine (JVM) adalah…;Kotlin
c2;Tentukan banyaknya Permutasi yang terjadi jika akan disusun tiga huruf yang diambil dari abjad A,B,C,D,E!;60
c3;<img class='d-flex' src='static/soalgambar/soal1.png'>;11
c4;Komputer atau sistem yang menyediakan sumber daya, data, layanan, atau program ke komputer lain, yang dikenal sebagai klien, melalui jaringan adalah…;Server / Komputer Server
c5;Formula pada Microsoft Excel untuk menghitung berapa banyak data angka/numerik pada sekumpulan cell atau range adalah?;COUNT
c6;Sistem Operasi berbasis linux yang dirancang khusus untuk perangkat mobile seperti smartphone dan tablet adalah?;Android
d1;Dalam ekstensi gambar dikenal dengan istilah JPEG. Apa kepanjangan dari JPEG?;Joint Photographic Expert Group
d2;Tentukan hasil perhitungan dari 98 mod 5!;3
d3;Perintah yang digunakan di linux untuk melihat daftar file dan folder dalam sistem file adalah…;ls
d4;Sebuah perangkat lunak dari Microsoft untuk melindungi sistem operasi Microsoft Windows dari perangkat pengintai atau spyware adalah…;Windows Defender
d5;Cabang teknologi yang berhubungan dengan desain, konstruksi, operasi, disposisi struktural, pembuatan, dan aplikasi dari robot adalah?;Robotics atau Robotika
d6;Perintah yang digunakan di linux untuk memindahkan sebuah file atau folder dari satu lokasi ke lokasi lain adalah…;mv
e1;Tentukan KPK dari 7, 14 dan 21!;42
e2;Hasil konversi bilangan heksadesimal FF(16) ke dalam bentuk biner yaitu?;11111111
e3;START PSEUDOCODE<br><br>SET a = 8<br>SET b = 3<br>SET hasil =  0<br><br>IF a > b THEN<br>SET hasil = a * b<br>ELSE<br>SET hasil = b - a<br>ENDIF<br><br>DISPLAY hasil<br><br>END PSEUDOCODE<br>Apakah output dari pseudocode diatas?;24
e4;Formula pada Microsoft Excel yang digunakan untuk mencari angka terendah di dalam suatu deretan data adalah?;MIN
e5;Jenis topologi yang setiap komponen dihubungkan langsung ke simpul pusat (central point) sehingga memudahkan dalam deteksi kesalahan disebut dengan?;Topologi Star atau Topologi Bintang
e6;Apa kepanjangan dari ISP dalam konteks jaringan?;Internet Service Provider
f1;Tag HTML yaang digunakan untuk membuat teks miring adalah?;<i>
f2;Komponen utama yang digunakan pada komputer generasi pertama adalah?;Tabung Vakum atau Vacuum Tube
f3;Berapa banyak subhimpunan yang dapat dibentuk dari himpunan {A, B, C}?;2^3 = 8
f4;<img class='d-flex' src='static/soalgambar/soal2.png'>;2
f5;Tools pada Photoshop yang memiliki fungsi memindahkan objek baik berupa gambar atau teks dengan mengarahkan kursor ke objek yang ingin dipindahkan adalah…;Move Tool
f6;Shortcut pada Microsoft Word untuk menutup dokumen yang sedang dibuka adalah?;CTRL + W
