"question_id";"question";"answer"
"a1";"<img src=""static/soalgambar/soal2penyisihan3.png"" />";"10"
"a2";"Otak dari komputer yang mengolah instruksi dan menjalankan perintah adalah";"CPU"
"a3";"Untuk membuat dokumen terlihat rata di tepi kanan dan kiri dalam Microsoft Word, fitur yang digunakan adalah";"Justify"
"a4";"Sistem bilangan Hindu-Arab adalah nama lain dari sistem bilangan?";"desimal"
"a5";"Tempat penyimpanan data jangka panjang untuk komputer, seperti dokumen, gambar, musik, dan video adalah";"Hard Drive"
"a6";"Fungsi fitur Filter di Microsoft Excel adalah untuk";"Memfilter data"
"b1";"Simbol C dalam heksadesimal mewakili angka ?";"12"
"b2";"Kemampuan sistem operasi untuk menjalankan beberapa proses atau tugas secara bersamaan, memungkinkan penggunaan sumber daya komputer yang lebih efisien dikenal dengan nama?";"Multi-tasking"
"b3";"ketika proses instalasi GNU Linux, suatu harddisk harus dipartisi dan kemudian dikaitkan dengan suatu nama (mount point). Mount point yang harus selalu ada ketika instalasi GNU Linux adalah";"/ (root)"
"b4";"Dalam suatu kelompok siswa terdapat 8 siswa yang suka bermain musik dan 12 siswa yang suka menyanyi. Jika banyak keseluruhan siswa ada 14 orang, maka banyak siswa yang menyukai keduanya adalah";" 6 siswa"
"b5";"Jenis serangan keamanan siber yang paling umum?";"Malware"
"b6";"Direktori yang akan isinya selalu di-reset dari awal ketika komputer dihidupkan atau di-reboot pada sistem operasi GNU Linux adalah direktori?";"/tmp"
"c1";"Kepanjangan dari SSD adalah…";"Solid State Drive"
"c2";"Shortcut untuk menyeleksi seluruh teks di Microsoft Word adalah";"CTRL+A"
"c3";"Protokol untuk transfer data di World Wide Web yang lebih aman dari HTTP adalah";"HTTPS"
"c4";"Ada 7 huruf, yaitu 3 huruf A, 2 huruf B, dan 2 huruf C. Berapa banyak susunan huruf yang dapat dibentuk?";" 210 susunan huruf yang dapat dibentuk."
"c5";"Sistem operasi yang berbasis teks adalah?";"CLI (Command Line Interface)"
"c6";"Pada suatu acara makan siang kerajaan yang dihadiri oleh 8 orang, para tamu makan dengan posisi duduk melingkar. Banyaknya susunan yang bisa dibuat saat mereka duduk adalah";"5040"
"d1";"Apa yang dimaksud dengan “procedure” dalam pseudocode?";" “Procedure” adalah kumpulan langkah-langkah yang bisa dipanggil untuk melakukan tugas tertentu. Misalnya, “Procedure HitungJumlah” bisa digunakan untuk menjumlahkan angka."
"d2";"Perangkat lunak yang menawarkan versi percobaan gratis dengan fitur terbatas, kemudian meminta pembayaran untuk versi lengkapnya disebut";"Shareware"
"d3";"Fitur apa yang digunakan untuk membuat grafik di Microsoft Excel?";"Chart"
"d4";"Kepanjangan dari TCP adalah";"Transmision Control Protocol"
"d5";"Apa yang dimaksud dengan 'conditional statement' dalam pseudocode?";"Perintah untuk membuat keputusan berdasarkan kondis"
"d6";"Papan utama yang menghubungkan semua komponen komputer, termasuk CPU, RAM, dan perangkat lainnya adalah";"Motherboard"
"e1";"MBR merupakan singkatan dari?";"Master Boot Record"
"e2";"Jenis topologi yang memiliki node tengah sebagai pusat penghubung dari suatu jaringan adalah topologi";"Topologi Star"
"e3";"Perangkat lunak yang melindungi komputer dari malware adalah";"Antivirus"
"e4";"Sensor pada rel kereta mencatat kecepatan kereta dalam format biner 111000. Ubah nilai ini ke format desimal untuk mengetahui apakah kecepatan kereta melebihi 55 km/h, batas kecepatan maksimum di jalur tersebut.";"111000 (Biner) = 56 (Desimal) Kecepatan kereta ini melebihi batas kecepatan maksimum."
"e5";"Dalam penelitian yang dilakukan pada sekelompok orang, dipeoleh data 68 orang sarapan dengan nasi, 50 orang sarapan dengan roti, dan 8 orang sarapan nasi dan roti, sedangkan 35 orang sarapannya tidak dengan nasi ataupun roti. Hitung banyaknya orang dalam kelompok tersebut!";"145 orang"
"e6";"Apa yang menjadi jantung dari sebuah jaringan komputer, yang menyediakan berbagai layanan seperti berbagi file, mencetak, dan akses internet?";"Server (peladen)"
"f1";"<img src=""static/soalgambar/soal1penyisihan3.png"" />";"9"
"f2";"Apa singkatan dari VLAN dalam jaringan komputer";"Virtual Local Area Network"
"f3";"Ketika ingin mencetak dokumen dengan printer, namun perangkat printer tidak terdeteksi, maka hal apa yang harus diinstal supaya printer terdeteksi?";"Driver Printer"
"f4";"Diketahui bilangan oktal 116(8). Jika di konversi ke desimal, nilainya adalah?";"78(10)"
"f5";"Manfaat internet dalam bidang pemerintahan disebut dengan";"e-Goverment"
"f6";"Perangkat lunak yang dapat digunakan secara gratis tetapi biasanya tidak boleh dimodifikasi atau didistribusikan ulang adalah";"Freeware"
