"question_id";"question";"answer"
"a1";"Dokumen dalam Microsoft Excel disebut sebagai";"Workbook"
"a2";"Sebuah kartu yang berfungsi sebagai jembatan dari komputer ke sebuah jaringan komputer?";"Network Interface Card (NIC)"
"a3";"Berapakah hasil dari 25(8) x 14(8)";"374(8)"
"a4";"Apa metode dalam kriptografi yang menggunakan kunci publik dan kunci privat untuk enkripsi dan dekripsi?";"Kriptografi asimetris"
"a5";"<img src=""static/soalgambar/soal1semifinal2.png"" />";"Hasil akhir dari variabel result adalah 60."
"a6";"Jenis sistem komunikasi dua arah di mana dua node akhir mengirim dan menerima sinyal data secara bersamaan, dan satu operator secara bersamaan digunakan untuk komunikasi ganda disebut";"full-duplex"
"b1";"Konvers dari pernyataan “Jika Cika haus, maka harus minum” adalah";"""Jika harus minum, maka Cika haus.”"
"b2";"Sebuah alat yang berfungsi untuk mengarahkan lalu lintas data antar jaringan adalah";"Router"
"b3";"Pada system time sharing, teknik yang digunakan OS dengan mengambil control terhadap prosesor dari satu proses kemudian memberikannya kepada proses yang lain dengan memanfaatkan jeda interrupts yang digenerate oleh clock system disebut?";"time slicing atau time sharing"
"b4";"Mengolah data grafis untuk menampilkan gambar dan video di layer adalah";"GPU(Graphics Processing Unit)"
"b5";"<img src=""static/soalgambar/soal2semifinal2.png"" />";"Pseudocode ini menjumlahkan semua elemen dalam array A yang berisi N elemen. Jadi, hasil akhirnya adalah 24."
"b6";"Dalam perlombaan kuda, skor Anda adalah 110101 dalam sistem biner, dan skor kuda lain adalah 101111 dalam sistem biner. Kuda mana yang menang, dan berapa selisih skornya dalam desimal?";"110101 = 53 101111 = 47 Kuda Anda menang dengan selisih: 6"
"c1";"Alat yang digunakan untuk pengecekan kabel sudah terkonfigurasi benar atau belum disebut";"Lan Tester"
"c2";"Fungsi invers dari f(x)= ((3x+4))/((2x-1)) adalah";"f-1(x) = ((x+4))/((2x-3) )"
"c3";"Perangkat input yang mengontrol kursor dengan memutar bola yang terpasang pada perangkat adalah";"Trackball"
"c4";"Di Microsoft Excel, untuk mengubah ukuran font dalam sebuah sel, kita bisa menggunakan fitur?";"Font Size"
"c5";"<img src=""static/soalgambar/soal3semifinal2.png"" />";"Hasil dari pseudocode adalah [50, 10, 20, 30, 40]."
"c6";"Sebuah jam digital menampilkan waktu 15:45 (desimal) . Konversikan waktu tersebut ke dalam sistem biner dan jawab dalam format HH:MM.";"15 desimal = 1111 45 desimal = 101101 jam digital konversi biner 1111:101101"
"d1";"Protokol yang berguna untuk memberikan informasi tentang error yang terjadi antara host seperti Destination Host Unreachable adalah";"Internet Control Message Protocol (ICMP)"
"d2";"Layer yang berfungsi untuk transmisi data dari satu host ke yang lain yang terletak di jaringan yang berbeda dan menangani routing paket, yaitu pemilihan jalur terpendek untuk mengirimkan paket, dari jumlah rute yang tersedia adalah";"network layer"
"d3";"Dalam instalasi sistem operasi Linux, partisi yang menyimpan file-file sistem dasar dan direktori utama seperti bin, lib disebut?";"root partition/partisi root (/)"
"d4";"Algoritma pengurutan yang membagi data menjadi dua bagian dan mengurutkannya secara rekursif disebut apa?";"Merge Sort"
"d5";"Apa yang dihitung dalam FLOPS (Floating Point Operation per Second) pada supercomputer?";"jumlah operasi aritmatika bilangan floating-point yang dapat dilakukan oleh prosesor dalam satu detik."
"d6";"Fungsi di Microsoft Excel yang digunakan untuk menjumlahkan sel-sel yang sesuai dengan kriteria tertentu disebut";"COUNTIF"
"e1";"<img src=""static/soalgambar/soal4semifinal2.png"" />";"Pseudocode ini menghasilkan matriks identitas 3x3"
"e2";"Diketahui bilangan heksadesimal ADA(16) berapakah hasil konversi ke bilangan desimal?";"2778(10)"
"e3";"Tentukan –7 ≣/ 15 (mod 3)";"(3 tidak habis membagi –7 – 15 = –22 sehingga −7≢15 (mod 3))"
"e4";"Diketahui premis-premis berikut ini:- Jika Andi kehujanan, maka Andi sakit- Jika Andi sakit, maka ia demam Kesimpulan dari kedua premis tersebut adalah...";"adi, kesimpulannya adalah: ""Jika Andi kehujanan, maka Andi demam.”"
"e5";"Untuk memformat angka sebagai persentase di Excel, Anda dapat menggunakan pintasan keyboard";"Ctrl + Shift + %"
"e6";"Perangkat lunak yang memungkinkan satu sistem komputer untuk meniru fungsi dari sistem lain adalah";"Emulator"
"f1";"Unit eksekusi terkecil dalam proses yang dapat dijadwalkan secara independen oleh sistem operasi disebut sebagai?";"thread"
"f2";"Perangkat yang digunakan untuk menyerap dan menghilangkan panas dari CPU atau komponen lain adalah";"Heat sink"
"f3";"Sebuah fitur yang memungkinkan pengguna untuk mengelola dan memantau perangkat keras yang terpasang di komputer adalah";"Device Manager"
"f4";"Sistem dengan beberapa proses sedang berjalan. Salah satu proses tidak merespons. Perintah apa yang bisa kita gunakan di terminal untuk menghentikan proses tersebut di Linux?";"kill"
"f5";"Apa jenis GPU yang berada di luar komputer, yamg biasanya digunakan untuk meningkatkan kinerja grafis pada laptop?";"eGPU (external Graphics Processing Unit)"
"f6";"Perangkat lunak berbahaya yang dapat merusak atau mengakses sistem tanpa izin adalah";"Malware"
