question_id;question;answer
a1;Hasil konversi bilangan biner 11000001(2)  ke dalam bentuk heksadesimal yaitu?;C1(16)
a2;Formula pada Microsoft Excel yang digunakan untuk mengembalikan nilai tengah dari serangkaian angka tertentu adalah?;MEDIAN
a3;Hasil konversi bilangan biner 01000101(2)  ke dalam bentuk desimal yaitu?;69(10)
a4;Hasil konversi bilangan heksadesimal 13(16) ke dalam bentuk desimal yaitu?;19(10)
a5;Dalam konteks jaringan komputer, jenis jaringan yang mencakup area geografis, seperti seluruh negara atau benua disebut?;Wide Area Network (WAN)
a6;Shortcut pada Microsoft Word yang digunakan untuk meratakan teks ke kiri adalah?;CTRL + L
b1;START pseudocode<br><br>SET a = 3<br>SET b = 2<br>SET c = a^b<br>DISPLAY c<br><br>END pseudocode<br>Apakah output dari pseudocode diatas?;9 
b2;Cabang teknologi yang melibatkan penanaman teknologi seperti sensor dan software pada benda dengan tujuan untuk berkomunikasi, mengendalikan, menghubungkan dan bertukar data dengan perangkat lain selama masih terhubung ke internet adalah?;IoT (Internet of Things)
b3;Komponen apa yang memiliki peran penting dalam meningkatkan kualitas visual guna menghasilkan gambar yang lebih baik dan jelas pada komputer?;GPU
b4;Formula pada Microsoft Excel yang digunakan untuk menguji suatu kondisi dan mengembalikan satu nilai jika kondisi terpenuhi adalah?;IF
b5;START PSEUDOCODE<br><br>SET bil = 895<br><br>IF bil mod 2 = 0 THEN<br>DISPLAY “Genap”<br>ELSE<br>DISPLAY “Ganjil”<br>ENDIF<br><br>END PSEUDOCODE<br>Apakah output dari pseudocode diatas?;Ganjil
b6;Apa kepanjangan dari WWW dalam konteks internet?;World Wide Web
c1;<img class='d-flex' src='static/soalgambar/soal6.png'>;6
c2;Tentukan hasil perhitungan dari 68 mod 8!;4
c3;START PSEUDOCODE<br><br>SET a = 7<br>SET b = 9<br>SET hasil =  0<br><br>IF a < b THEN<br>SET hasil = b mod a<br>ELSE<br>SET hasil = a + b <br>ENDIF<br><br>DISPLAY hasil<br>END PSEUDOCODE<br>Apakah output dari pseudocode diatas?;2
c4;Perangkat jaringan pada Physical Layer yang digunakan untuk mengirimkan sinyal ke setiap port (kecuali satu port) untuk merespons dari mana sinyal itu diterima adalah…;Hub
c5;Kata SAPU terdiri dari 4 huruf. Ada berapa banyak macam susunan huruf yang dapat dibentuk?;24
c6;Tag HTML yang digunakan untuk membuat daftar berurutan dimana setiap item ditandai dengan nomor adalah?;<ol>
d1;<img class='d-flex' src='static/soalgambar/soal5.png'>;9
d2;Jenis sistem bilangan yang menggunakan 16 digit atau menggunakan basis 16 untuk pembuatan nomornya adalah…;Heksadesimal
d3;Tentukan FPB dari 7, 14 dan 21!;7
d4;Teknologi yang digunakan pada komputer generasi ketiga menggantikan transistor adalah?;IC (Integrated Circuit)
d5;Shortcut pada Microsoft Word untuk menerapkan spasi tunggal pada paragraf adalah?;CTRL + 1
d6;Tag HTML yang digunakan untuk menebalkan teks adalah?;<b>
e1;Berapa banyak subhimpunan yang dapat dibentuk dari himpunan {P, Q, R, S,T}?;2^5 = 32
e2;START pseudocode<br><br>SET a = 8<br>SET b = 1<br>SET c = 1<br>SET d = b + c<br>SET e = a / d<br>SET f = a - (d + e)<br>DISPLAY f<br><br>END pseudocode<br>Apakah output dari pseudocode diatas?;2
e3;Sebuah perangkat lunak dari Microsoft yang memungkinkan pengguna untuk mengambil tangkapan layar atau screenshot adalah…;Snipping Tool
e4;Lapisan pada OSI Layer yang berfungsi untuk mentranslasikan data yang hendak ditransmisikan oleh aplikasi ke dalam format yang dapat ditransmisikan melalui jaringan adalah?;Presentation Layer
e5;Pada Microsoft Word menu yang memungkinkan author untuk meninjau teks, tata bahasa serta mengisi komentar pada tulisan adalah…;Review
e6;Tools pada Adobe Premiere yang berfungsi untuk menggerakan tampilan pada timeline secara horizontal maupun vertikal adalah…;Hand Tool
f1;Perintah yang digunakan di linux untuk menyalin (copy) file dari satu lokasi ke lokasi lain adalah…;cp
f2;Sistem operasi open source berbasis linux yang didesain untuk berbagai jenis perangkat seperti komputer pribadi dan server oleh perusahaan Canonical Ltd adalah? ;Ubuntu
f3;Perintah yang digunakan di linux untuk menambahkan teks ke dalam sebuah file adalah…;echo
f4;Jenis topologi yang ditandai dengan nodenya dihubungkan secara serial dan pada kedua ujung ditutup dengan terminator disebut dengan?;Topologi Bus
f5;Dalam ekstensi gambar dikenal dengan istilah GIF. Apa kepanjangan dari GIF tersebut?;Graphics Interchange Format
f6;Bahasa pemrograman yang ditemukan pada tahun 1994 oleh Rasmus Lerdorf pengembangan pada sisi server adalah?;PHP (Hypertext Preprocessor)
