"question_id";"question";"answer"
"a1";"Istilah yang menggambarkan perangkat keras yang menghubungkan dua jaringan berbeda pada lapisan OSI disebut?";"bridge"
"a2";"Teknologi penyimpanan berbasis memori non-volatile yang lebih cepat dan tahan";"SSD (Solid-State Drive)"
"a3";"Ekstensi paket yang biasanya digunakan di Linux Debian dan turunannya adalah ?";".deb"
"a4";"Jika g (x) = 3x – 2 dan (g o f) (x) = 3x² +1, maka tentukan f (x) !";"<img src=""static/soalgambar/jawaban4semifinal3.png"" />"
"a5";"Fitur di Microsoft Word yang digunakan untuk menambahkan daftar pustaka secara otomatis disebut";"Bibliography"
"a6";"<img src=""static/soalgambar/soal1semifinal3.png"" />";"Keluaran dari pseudocode adalah 1."
"b1";"Jam digital Anda menampilkan waktu dalam format hexadesimal sebagai 3E8. Ubah waktu ini ke format desimal untuk mengetahui waktu dalam detik.";"1000"
"b2";"Perintah yang digunakan untuk mengubah kepemilikan file atau direktori di Linux adalah";"chown"
"b3";"Konversikan 2024(10) kedalam bentuk biner";"11111011110"
"b4";"Tentukan 12 ≣ /2 (mod 7)";"(7 tidak habis membagi 12 – 2 = 10 )"
"b5";"Dari 5 kartu yang terdiri dari angka 1, 2, 3, 4, dan 5, diambil dua kartu secara acak. Berapakah peluang bahwa jumlah kedua kartu tersebut lebih besar dari 6?";"<img src=""static/soalgambar/jawaban2semifinal3.png"" />"
"b6";"Sensor suhu mencatat nilai 176 dalam format desimal. Ubah nilai ini ke format hexadesimal untuk dikirim ke pusat kontrol.";"B0"
"c1";"<img src=""static/soalgambar/soal6semifinal3.png"" />";"Keluaran dari pseudocode adalah 10."
"c2";"Jenis memori yang bersifat non-volatile dan menyimpan instruksi awal saat komputer dinyalakan disebut..";"ROM (Read-Only Memory)"
"c3";"Apa Fitur yang digunakan pada Microsoft Word yang memungkinkan pengguna membuat dan mengelola catatan akhir pada dokumen disebut…";"Endnote"
"c4";"Protokol yang digunakan untuk mentransfer file secara aman adalah?";"SFTP"
"c5";"Protokol jaringan apa yang digunakan untuk mengamankan komunikasi web melalui enkripsi sertifikat digital?";"Secure Socket Layer / Transport Layer Security (SSL/TSL)"
"c6";"Apa sistem operasi berbasis Linux yang dirancang khusus untuk keperluan penetration testing, serta dilengkapi dengan lebih dari 600 alat untuk keamanan informasi, termasuk Nmap, Wireshark, Metasploit, Aircrack-ng, Burp Suite, dan banyak lagi.";"Kali linux"
"d1";"<img src=""static/soalgambar/soal5semifinal3.png"" />";"Keluaran dari pseudocode adalah 91."
"d2";"Perangkat lunak yang didesain secara khusus untuk sistem operasi dengan ukuran kecil, bertujuan untuk memuat sistem operasi pada memori komputer ketika perangkat komputer dinyalakan adalah…";"Boot Loader"
"d3";"Apa nama standar teknologi nirkabel yang digunakan untuk menghubungkan perangkat secara jarak dekat, seperti antara headset dan smartphone?";"Bluetooth Low"
"d4";"Fitur pada Microsoft Access yang memungkinkan pengguna membuat formulir untuk memasukkan data dengan mudah disebut";"Form"
"d5";"Fitur pada Microsoft Excel yang memungkinkan pengguna menghitung jumlah sel yang kosong dalam rentang tertentu disebut…";"COUNTBLANK"
"d6";"Template dasar yang mengatur layout dan format semua slide pada Microsoft Powerpoint adalah";"Slide Master"
"e1";"<img src=""static/soalgambar/soal3semifinal3.png"" />";"Keluaran dari pseudocode adalah [0, 1, 2, 3, 7, 8, 10]."
"e2";"Dalam kontek Komunikasi Data dan Jaringan Komputer, Apa kepanjangan dari NAT?";"Network Address Translation"
"e3";"Apa istilah untuk perangkat yang menggabungkan fungsi router dan access point?";"Wireless Router"
"e4";"Protokol yang digunakan untuk mengirim email dari klien ke server adalah";"SMTP (Simple Mail Transfer Protocol)"
"e5";"Sebuah ukuran untuk menghitung Jumlah data yang dapat ditransfer dalam waktu tertentu disebut";"Bandwith"
"e6";"Sebuah benda dengan massa 10 kg mengalami percepatan 9.8 m/s^2. Hitung gaya F=ma, lalu konversikan hasilnya ke bilangan hexadesimal.";"F = 10×9.8 = 98N, 98(10) = 62(16)"
"f1";"Representasi bilangan desimal 45.625 dalam format biner adalah";"101101.101"
"f2";"Apa nama dari versi ubuntu 23 ?";"mantic minotaur"
"f3";"Apa kepanjangan dari TTL dalam konteks jaringan?";"Time To Live"
"f4";"Apa kepanjangan dari stack LAMP?";"Linux, Apache, MySql, Php/Perl/Python"
"f5";"Perangkat keras yang bertugas sebagai gerbang utama yang menghubungkan jaringan internal dengan jaringan eksternal (internet) disebut.";"Router"
"f6";"Apa nama metode dalam komputasi yang digunakan untuk membagi beban kerja komputasi secara paralel di antara beberapa prosesor?";"Parallel Processing / Pemrosesan Paralel"
